,Year,County,Cases,Area_km,Perm_pop,Live-births,Infant_deaths,Children,Internal_immigration,Internal_emmigration,Dwellings,Street_taps,HH_water_net,HH_water_net_CY,HH_sewer_net,HH_electric_net,HH_gas_net,HH_dist_heat_net,HH_hot_water_net,HH_trash_serv,Num_general_pract,Num_pediatrican,GP_Nurses,Hospital_Beds,Gyno_ped_nurses,Pharmacies,Branch_pharmacies,Job_seekers,BACS_adjacent,BARANYA_adjacent,BEKES_adjacent,BORSOD_adjacent,BUDAPEST_adjacent,CSONGRAD_adjacent,FEJER_adjacent,GYOR_adjacent,HAJDU_adjacent,HEVES_adjacent,JASZ_adjacent,KOMAROM_adjacent,NOGRAD_adjacent,PEST_adjacent,SOMOGY_adjacent,SZABOLCS_adjacent,TOLNA_adjacent,VAS_adjacent,VESZPREM_adjacent,ZALA_adjacent
0,2005,BACS,2766,8445.15,547459.0,4895.0,47.0,84717.0,20899.0,21033.0,235149.0,1860.0,204260.0,1745.0,89643.0,274186.0,172283.0,15940.0,14750.0,182004.0,261.0,85.0,294.0,3455.0,263.0,128.0,26.0,23623.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,2006,BACS,1969,8445.33,545618.0,5141.0,27.0,82800.0,23404.0,24004.0,236054.0,1826.0,205796.0,2084.0,92972.0,275254.0,174230.0,15910.0,14928.0,185560.0,263.0,84.0,293.0,3423.0,267.0,129.0,26.0,24346.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2,2007,BACS,2197,8444.72,544429.0,4951.0,28.0,81009.0,23615.0,24959.0,236875.0,1822.0,207121.0,1806.0,98406.0,278352.0,175946.0,15910.0,14932.0,188068.0,257.0,85.0,288.0,2985.0,261.0,134.0,24.0,26526.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
3,2008,BACS,1711,8444.83,542876.0,5041.0,39.0,79777.0,18218.0,19622.0,237717.0,1806.0,208549.0,1595.0,110261.0,278651.0,177371.0,15910.0,14888.0,184570.0,262.0,86.0,298.0,2985.0,264.0,152.0,27.0,28980.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
4,2009,BACS,1607,8444.83,541005.0,4905.0,36.0,78289.0,17367.0,18773.0,238229.0,1791.0,209194.0,811.0,112728.0,277852.0,179184.0,15946.0,14887.0,185117.0,259.0,86.0,296.0,2970.0,257.4,158.0,23.0,36682.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,2010,BACS,2803,8444.81,538456.0,4480.0,27.0,76690.0,17143.0,18743.0,238834.0,1742.0,208385.0,1063.0,113648.0,277259.0,182809.0,15946.0,14895.0,186425.0,250.0,83.0,277.0,3010.0,260.0,161.0,27.0,35211.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
6,2011,BACS,1616,8444.83,536409.0,4318.0,27.0,75570.0,22035.0,22612.0,239346.0,1622.0,208461.0,662.0,114780.0,276691.0,179703.0,15933.0,14880.0,184848.0,245.0,82.0,287.0,2995.0,261.0,161.0,27.0,32136.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
7,2012,BACS,1927,8444.83,534545.0,4453.0,22.0,74980.0,23504.0,23623.0,239759.0,1640.0,209505.0,780.0,119072.0,276232.0,175883.0,15941.0,14887.0,181941.0,244.0,81.0,284.0,2830.0,267.31,153.0,29.0,33594.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
8,2013,BACS,951,8445.17,532822.0,4523.0,19.0,74452.0,22470.0,23125.0,240049.0,1626.0,210107.0,650.0,121209.0,278216.0,172957.0,15884.0,15068.0,0.0,250.0,81.0,288.0,2830.0,266.93,151.0,29.0,25061.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
9,2014,BACS,1854,8443.12,530565.0,4619.0,20.0,74138.0,23020.0,24260.0,240235.0,1646.0,208548.0,581.0,123451.0,278035.0,172035.0,15811.0,14994.0,0.0,249.0,81.0,296.0,2900.0,269.0,150.0,30.0,23356.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
10,2005,BARANYA,2051,4429.47,404184.0,3672.0,18.0,60107.0,19753.0,19888.0,161454.0,1064.0,157561.0,2260.0,113153.0,200467.0,86438.0,40332.0,37453.0,151081.0,222.0,65.0,254.0,3439.0,204.0,82.0,31.0,22084.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,2006,BARANYA,1863,4429.6,402993.0,3812.0,16.0,59025.0,21664.0,21693.0,162522.0,1018.0,158873.0,1671.0,116807.0,202852.0,88768.0,40388.0,37627.0,150444.0,221.0,67.0,240.0,3473.0,219.0,82.0,32.0,21064.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,2007,BARANYA,2345,4429.61,402318.0,3704.0,23.0,58132.0,22587.0,22912.0,163706.0,1082.0,160296.0,1885.0,118413.0,206187.0,90509.0,40644.0,37877.0,151782.0,223.0,66.0,250.0,3107.0,216.0,89.0,33.0,23024.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13,2008,BARANYA,1815,4429.6,401129.0,3661.0,18.0,57077.0,17476.0,18046.0,164554.0,1046.0,161088.0,1169.0,120133.0,209128.0,91012.0,40785.0,38019.0,151006.0,221.0,68.0,247.0,3226.0,207.0,93.0,43.0,24264.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,2009,BARANYA,1591,4429.6,399870.0,3589.0,16.0,56290.0,16210.0,16948.0,165449.0,1053.0,162156.0,1295.0,121446.0,207490.0,93020.0,40755.0,37978.0,150825.0,219.0,68.0,248.0,3167.0,209.0,97.0,31.0,29070.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,2010,BARANYA,2656,4429.59,397973.0,3367.0,21.0,55359.0,16209.0,17222.0,165871.0,1047.0,161814.0,224.0,118751.0,206013.0,94987.0,40768.0,38001.0,151156.0,219.0,65.0,239.0,3233.0,216.0,100.0,31.0,28874.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16,2011,BARANYA,1272,4429.59,396392.0,3240.0,13.0,54599.0,19350.0,20575.0,166957.0,979.0,160242.0,92.0,119504.0,202913.0,91843.0,40798.0,38039.0,150680.0,218.0,66.0,244.0,3216.0,216.0,101.0,31.0,28731.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17,2012,BARANYA,907,4429.59,394414.0,3145.0,15.0,54041.0,19814.0,21366.0,167208.0,909.0,162451.0,967.0,118918.0,206128.0,89097.0,40792.0,38020.0,150179.0,212.0,67.0,251.0,3123.0,214.0,97.0,35.0,28659.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
