,Date,Year,County,Cases,Area_km,Perm_pop,Live-births,Infant_deaths,Children,Internal_immigration,Internal_emmigration,Dwellings,Street_taps,HH_water_net,HH_water_net_CY,HH_sewer_net,HH_electric_net,HH_gas_net,HH_dist_heat_net,HH_hot_water_net,HH_trash_serv,Num_general_pract,Num_pediatrican,GP_Nurses,Hospital_Beds,Gyno_ped_nurses,Pharmacies,Branch_pharmacies,Job_seekers,BACS_adjacent,BARANYA_adjacent,BEKES_adjacent,BORSOD_adjacent,BUDAPEST_adjacent,CSONGRAD_adjacent,FEJER_adjacent,GYOR_adjacent,HAJDU_adjacent,HEVES_adjacent,JASZ_adjacent,KOMAROM_adjacent,NOGRAD_adjacent,PEST_adjacent,SOMOGY_adjacent,SZABOLCS_adjacent,TOLNA_adjacent,VAS_adjacent,VESZPREM_adjacent,ZALA_adjacent
0,2005-01-03,2005,BUDAPEST,168,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2005-01-10,2005,BUDAPEST,157,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2005-01-17,2005,BUDAPEST,96,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2005-01-24,2005,BUDAPEST,163,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2005-01-31,2005,BUDAPEST,122,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2005-02-07,2005,BUDAPEST,174,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2005-02-14,2005,BUDAPEST,153,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2005-02-21,2005,BUDAPEST,115,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2005-02-28,2005,BUDAPEST,119,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2005-03-07,2005,BUDAPEST,114,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
